age,gender,location,province,education_level,employment_sector,income_quintile,has_national_id,has_proof_of_address,has_tin,has_employment_proof,kyc_doc_score,kyc_barrier_level,distance_to_branch_km,has_mobile_phone,has_internet,financially_excluded
44,Male,Urban,Bulawayo,Secondary,Formal,5,1,1,0,1,3,Low,4.5,1,1,0
46,Female,Urban,Harare,Tertiary,Informal,5,1,1,0,1,3,Low,4.4,1,1,1
37,Male,Rural,Mashonaland West,Primary,Informal,1,1,1,0,1,3,Low,26.2,0,0,1
34,Female,Urban,Mashonaland East,Tertiary,Formal,5,1,1,1,1,4,Low,0.5,1,1,0
22,Male,Urban,Mashonaland East,Tertiary,Formal,5,1,1,1,1,4,Low,4.5,1,0,0
31,Male,Urban,Bulawayo,Tertiary,Formal,5,1,1,1,1,4,Low,12.7,0,0,0
19,Female,Rural,Midlands,None,Unemployed,2,0,1,0,0,1,High,10.3,0,0,1
26,Male,Rural,Mashonaland West,Secondary,Unemployed,2,1,0,0,0,1,High,11.8,0,0,1
39,Female,Rural,Manicaland,None,Informal,3,0,1,0,1,2,Medium,1.4,0,0,1
36,Male,Rural,Matabeleland South,Secondary,Informal,3,1,0,0,0,1,High,14.7,1,0,1
80,Female,Urban,Harare,Secondary,Unemployed,4,1,1,1,0,3,Low,4.1,1,1,0
19,Female,Rural,Mashonaland Central,Secondary,Informal,2,1,1,0,0,2,Medium,9.8,1,1,0
36,Female,Urban,Harare,Secondary,Formal,4,1,1,1,0,3,Low,8.7,1,1,0
18,Male,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.7,0,1,0
32,Male,Rural,Mashonaland East,Secondary,Informal,3,0,1,0,1,2,Medium,2.9,0,0,1
33,Male,Urban,Harare,Secondary,Informal,4,1,1,0,1,3,Low,2.2,1,1,0
49,Male,Rural,Masvingo,Secondary,Unemployed,1,1,0,0,0,1,High,64.7,1,1,0
31,Male,Rural,Matabeleland South,Secondary,Informal,4,1,1,0,1,3,Low,43.4,0,0,1
35,Female,Rural,Midlands,Secondary,Informal,2,1,1,0,1,3,Low,10.1,0,0,0
31,Female,Rural,Manicaland,None,Unemployed,1,0,0,1,0,1,High,16.1,1,0,1
18,Female,Rural,Mashonaland Central,Secondary,Informal,2,1,1,0,0,2,Medium,11.5,1,0,0
28,Male,Urban,Bulawayo,Tertiary,Formal,4,1,1,1,0,3,Low,0.5,1,1,0
32,Male,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,4.2,1,1,0
39,Female,Urban,Harare,Primary,Unemployed,5,1,1,0,0,2,Medium,5.8,1,0,0
45,Male,Urban,Bulawayo,Tertiary,Informal,3,1,1,0,0,2,Medium,3.3,1,0,0
34,Male,Urban,Mashonaland East,Tertiary,Informal,4,1,1,0,0,2,Medium,2.0,0,1,1
34,Male,Rural,Mashonaland Central,Secondary,Informal,1,1,0,0,1,2,Medium,11.7,0,0,1
18,Female,Urban,Bulawayo,Tertiary,Formal,5,0,1,1,1,3,Low,3.9,1,1,1
45,Female,Urban,Bulawayo,Tertiary,Formal,4,0,1,1,1,3,Low,1.5,1,1,1
28,Male,Urban,Mashonaland West,Secondary,Informal,4,1,1,0,0,2,Medium,0.1,1,1,0
48,Male,Urban,Harare,Secondary,Unemployed,2,1,1,0,0,2,Medium,0.1,1,1,1
56,Male,Rural,Matabeleland South,Secondary,Informal,3,1,0,0,0,1,High,4.0,0,0,0
35,Male,Rural,Matabeleland South,Tertiary,Formal,4,1,1,1,1,4,Low,4.5,1,1,1
23,Female,Rural,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,21.7,0,1,1
37,Male,Rural,Masvingo,None,Informal,1,1,1,0,0,2,Medium,38.9,1,1,0
42,Female,Urban,Bulawayo,Tertiary,Formal,4,1,1,1,1,4,Low,1.4,1,1,0
33,Male,Rural,Mashonaland East,Secondary,Informal,2,0,1,1,1,3,Low,1.5,0,0,0
30,Male,Urban,Bulawayo,Secondary,Formal,5,1,1,1,1,4,Low,9.9,0,1,0
45,Female,Urban,Harare,Tertiary,Informal,5,0,1,0,1,2,Medium,0.5,1,1,0
44,Male,Urban,Mashonaland Central,Tertiary,Informal,3,1,1,0,0,2,Medium,8.8,0,1,0
33,Female,Rural,Harare,Secondary,Informal,1,1,1,0,0,2,Medium,23.6,1,0,1
18,Male,Urban,Bulawayo,Tertiary,Formal,5,0,1,1,1,3,Low,0.5,1,1,0
44,Female,Urban,Harare,Primary,Informal,4,1,1,0,1,3,Low,2.9,1,1,0
27,Male,Urban,Bulawayo,Tertiary,Informal,3,1,1,1,1,4,Low,3.5,0,1,0
41,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.7,0,1,0
40,Female,Rural,Mashonaland West,Secondary,Informal,2,0,1,0,0,1,High,28.0,1,0,1
18,Male,Urban,Bulawayo,Tertiary,Unemployed,2,1,1,0,0,2,Medium,5.4,0,1,0
39,Male,Urban,Harare,Tertiary,Unemployed,4,0,1,0,0,1,High,3.0,1,0,1
45,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,14.6,0,1,0
46,Female,Rural,Matabeleland South,Secondary,Informal,3,1,1,0,1,3,Low,6.1,0,0,1
39,Female,Urban,Harare,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.9,0,1,0
18,Female,Urban,Mashonaland Central,Secondary,Formal,5,1,1,1,1,4,Low,1.8,1,1,0
55,Female,Urban,Bulawayo,Primary,Unemployed,1,1,1,0,0,2,Medium,3.1,1,1,1
43,Female,Rural,Midlands,Secondary,Informal,1,1,0,0,1,2,Medium,35.8,1,0,1
21,Female,Rural,Mashonaland Central,Secondary,Informal,3,1,1,1,0,3,Low,1.7,1,1,0
26,Male,Rural,Mashonaland West,Secondary,Informal,1,1,0,1,0,2,Medium,19.0,1,1,0
41,Male,Urban,Harare,Secondary,Formal,4,1,1,1,1,4,Low,2.4,1,1,0
47,Female,Rural,Midlands,Secondary,Unemployed,1,1,1,0,0,2,Medium,15.0,1,1,0
31,Female,Rural,Matabeleland North,Secondary,Informal,2,1,1,0,0,2,Medium,5.3,0,0,1
49,Male,Rural,Masvingo,Tertiary,Formal,4,0,1,1,0,2,Medium,62.8,1,1,1
18,Male,Urban,Manicaland,Tertiary,Informal,4,1,1,0,0,2,Medium,1.3,1,1,0
23,Male,Urban,Harare,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.2,1,1,0
18,Female,Urban,Bulawayo,Tertiary,Unemployed,4,1,1,0,0,2,Medium,0.1,1,1,0
25,Female,Rural,Matabeleland South,Primary,Informal,3,1,1,0,1,3,Low,6.2,1,1,0
59,Male,Urban,Harare,Primary,Formal,5,1,0,1,1,3,Low,2.0,1,1,1
66,Female,Urban,Matabeleland South,Secondary,Formal,5,1,1,1,1,4,Low,0.4,1,1,0
41,Female,Urban,Masvingo,Tertiary,Formal,5,1,1,1,0,3,Low,5.1,1,1,0
29,Female,Rural,Midlands,None,Unemployed,1,1,0,0,0,1,High,2.5,1,0,0
34,Male,Urban,Mashonaland East,Secondary,Informal,3,1,1,0,1,3,Low,2.1,1,1,0
44,Female,Rural,Mashonaland East,Secondary,Unemployed,1,1,0,0,0,1,High,29.4,1,0,1
18,Female,Rural,Masvingo,None,Formal,3,0,1,1,1,3,Low,17.4,1,1,0
29,Female,Rural,Manicaland,Secondary,Unemployed,1,1,1,0,0,2,Medium,1.8,0,0,0
58,Male,Urban,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,1.1,0,1,0
23,Female,Rural,Mashonaland Central,Tertiary,Informal,1,1,1,1,0,3,Low,18.6,1,1,0
27,Female,Rural,Midlands,Primary,Unemployed,1,1,1,0,0,2,Medium,3.9,0,0,0
38,Male,Rural,Mashonaland Central,Primary,Informal,1,1,1,0,0,2,Medium,69.0,1,1,1
41,Male,Urban,Harare,None,Informal,3,1,1,0,0,2,Medium,2.3,1,1,0
29,Female,Urban,Harare,Primary,Formal,4,1,1,1,1,4,Low,1.2,1,1,0
39,Female,Urban,Manicaland,Tertiary,Formal,5,1,1,1,1,4,Low,3.9,0,1,0
46,Male,Urban,Harare,Secondary,Formal,4,1,1,1,1,4,Low,2.0,1,1,0
65,Male,Urban,Harare,Secondary,Informal,4,1,1,1,1,4,Low,2.9,1,1,0
36,Male,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,8.5,1,1,0
37,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,5.9,1,1,0
59,Female,Rural,Midlands,None,Informal,1,1,0,0,1,2,Medium,79.9,1,0,1
30,Male,Urban,Bulawayo,Secondary,Informal,2,1,1,0,0,2,Medium,6.0,1,1,1
19,Male,Rural,Mashonaland Central,Secondary,Unemployed,3,1,1,0,0,2,Medium,48.5,0,0,1
41,Male,Rural,Mashonaland Central,Secondary,Informal,4,1,1,0,1,3,Low,41.2,1,0,0
53,Male,Urban,Harare,Tertiary,Informal,2,1,1,0,1,3,Low,2.6,1,1,0
43,Female,Rural,Mashonaland East,None,Unemployed,1,0,1,1,0,2,Medium,4.7,0,1,1
36,Female,Urban,Harare,Tertiary,Informal,4,1,1,0,1,3,Low,3.2,1,0,0
18,Male,Rural,Bulawayo,None,Informal,1,1,0,0,1,2,Medium,2.7,1,0,1
37,Male,Urban,Harare,Secondary,Informal,1,1,1,0,1,3,Low,3.2,1,1,1
55,Male,Rural,Mashonaland East,Secondary,Unemployed,1,1,1,0,0,2,Medium,80.9,1,1,0
20,Female,Urban,Mashonaland Central,Tertiary,Formal,5,1,1,1,1,4,Low,0.9,1,1,0
34,Female,Urban,Harare,None,Informal,4,1,1,0,0,2,Medium,0.3,1,1,0
32,Female,Urban,Bulawayo,Secondary,Formal,5,1,1,1,1,4,Low,4.2,1,1,0
28,Male,Rural,Masvingo,Secondary,Informal,2,1,1,0,0,2,Medium,17.9,1,0,1
41,Female,Rural,Midlands,Primary,Informal,1,1,1,1,1,4,Low,53.6,0,0,0
44,Male,Urban,Harare,Secondary,Informal,4,1,1,1,1,4,Low,1.2,1,1,0
44,Female,Urban,Mashonaland East,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.3,1,0,0
24,Female,Urban,Masvingo,Primary,Unemployed,2,1,1,1,0,3,Low,13.7,1,1,1
18,Male,Urban,Midlands,Tertiary,Informal,4,1,0,0,0,1,High,1.6,1,1,1
41,Female,Urban,Mashonaland East,Primary,Informal,2,1,1,0,1,3,Low,0.6,1,0,0
30,Male,Urban,Harare,Secondary,Unemployed,1,1,0,0,0,1,High,1.8,1,1,0
63,Female,Rural,Midlands,Secondary,Informal,3,1,1,0,1,3,Low,8.6,0,1,1
64,Male,Rural,Matabeleland South,None,Formal,4,1,0,1,1,3,Low,1.0,1,1,1
65,Male,Urban,Harare,Secondary,Informal,4,1,1,0,1,3,Low,0.7,1,1,0
24,Male,Rural,Mashonaland Central,Primary,Informal,1,1,1,0,0,2,Medium,16.0,0,0,0
45,Male,Urban,Matabeleland South,Tertiary,Informal,4,1,1,1,1,4,Low,1.5,1,1,0
50,Male,Rural,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,22.0,0,0,1
48,Male,Urban,Mashonaland Central,Tertiary,Formal,5,1,1,0,1,3,Low,0.6,1,1,0
33,Female,Rural,Mashonaland West,Primary,Unemployed,2,1,0,0,0,1,High,6.5,0,1,1
55,Male,Rural,Matabeleland North,Secondary,Informal,1,1,0,1,1,3,Low,1.0,1,0,1
38,Male,Rural,Manicaland,Secondary,Unemployed,2,1,1,0,0,2,Medium,18.4,0,0,0
39,Female,Urban,Manicaland,Secondary,Formal,5,1,1,1,1,4,Low,3.2,1,1,0
18,Female,Rural,Masvingo,None,Informal,2,0,1,0,0,1,High,6.1,0,0,1
47,Male,Urban,Matabeleland North,Primary,Informal,2,1,1,0,1,3,Low,6.2,1,0,0
34,Male,Urban,Harare,Secondary,Informal,3,1,1,1,0,3,Low,3.7,1,0,1
44,Female,Rural,Manicaland,Primary,Informal,1,0,1,0,0,1,High,90.2,1,0,1
41,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,0.3,1,1,0
40,Male,Rural,Manicaland,Tertiary,Formal,4,1,1,0,1,3,Low,81.1,1,1,1
37,Female,Rural,Midlands,Primary,Informal,1,0,1,0,1,2,Medium,2.4,1,0,0
49,Male,Urban,Harare,Tertiary,Informal,3,1,1,0,0,2,Medium,5.1,1,1,0
35,Male,Rural,Mashonaland Central,Secondary,Informal,3,1,0,1,0,2,Medium,27.4,0,0,1
18,Female,Urban,Mashonaland East,Secondary,Informal,3,1,0,0,0,1,High,4.3,1,1,0
45,Female,Urban,Harare,Tertiary,Formal,5,0,1,1,1,3,Low,1.7,1,1,1
26,Female,Urban,Harare,Tertiary,Formal,4,1,1,1,1,4,Low,2.6,1,1,0
19,Male,Rural,Matabeleland North,Secondary,Unemployed,1,1,0,0,0,1,High,18.1,1,1,0
23,Male,Urban,Harare,Secondary,Informal,3,1,1,0,0,2,Medium,13.4,1,1,0
41,Male,Urban,Mashonaland West,Secondary,Informal,3,0,1,1,1,3,Low,8.8,1,1,1
36,Male,Urban,Bulawayo,Tertiary,Informal,4,1,1,0,1,3,Low,3.5,1,1,0
18,Male,Rural,Mashonaland East,Primary,Unemployed,1,1,0,0,0,1,High,17.1,1,0,1
32,Female,Rural,Masvingo,None,Unemployed,1,1,1,0,0,2,Medium,4.2,0,1,0
54,Female,Rural,Midlands,Primary,Informal,1,0,0,1,1,2,Medium,2.7,1,0,1
31,Female,Rural,Mashonaland East,Secondary,Informal,3,0,1,0,1,2,Medium,72.3,1,0,1
35,Male,Rural,Matabeleland North,Primary,Formal,2,1,1,1,1,4,Low,1.8,0,0,1
52,Male,Urban,Harare,Tertiary,Informal,4,1,1,0,0,2,Medium,0.6,1,1,0
49,Female,Urban,Bulawayo,Secondary,Informal,5,1,1,0,0,2,Medium,5.1,1,1,0
52,Male,Rural,Matabeleland North,Secondary,Informal,3,1,1,0,1,3,Low,7.0,1,1,0
18,Female,Rural,Manicaland,Secondary,Informal,2,1,1,1,1,4,Low,18.3,1,0,0
62,Male,Urban,Bulawayo,Secondary,Unemployed,3,1,1,1,0,3,Low,5.8,1,0,1
46,Female,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.1,0,1,0
72,Female,Rural,Matabeleland North,Primary,Unemployed,1,1,0,0,0,1,High,20.5,1,0,1
27,Female,Urban,Bulawayo,Tertiary,Unemployed,3,1,1,0,0,2,Medium,1.0,1,0,0
18,Female,Rural,Mashonaland East,Secondary,Informal,3,1,1,0,0,2,Medium,89.9,1,0,1
38,Female,Urban,Harare,Secondary,Formal,5,1,0,1,1,3,Low,1.9,1,1,0
34,Male,Urban,Matabeleland North,Tertiary,Unemployed,4,1,1,0,0,2,Medium,1.9,1,1,0
47,Female,Rural,Mashonaland East,Secondary,Informal,3,1,0,0,1,2,Medium,34.2,1,1,1
53,Female,Urban,Harare,Primary,Informal,3,1,1,0,0,2,Medium,3.6,1,0,0
36,Female,Urban,Harare,Secondary,Informal,4,1,1,0,0,2,Medium,4.5,0,1,0
34,Male,Rural,Masvingo,Secondary,Informal,1,1,0,0,1,2,Medium,1.3,0,0,1
45,Male,Rural,Mashonaland Central,Secondary,Informal,4,1,0,1,0,2,Medium,22.5,1,0,0
34,Female,Urban,Mashonaland West,Primary,Unemployed,2,1,1,0,0,2,Medium,0.3,1,1,0
33,Female,Urban,Bulawayo,Secondary,Informal,4,1,0,0,1,2,Medium,1.8,1,1,0
52,Male,Rural,Harare,Secondary,Unemployed,1,1,1,0,0,2,Medium,16.2,1,1,0
55,Male,Rural,Masvingo,Primary,Informal,1,1,0,0,1,2,Medium,31.6,1,1,1
53,Male,Urban,Harare,Primary,Unemployed,2,1,1,0,0,2,Medium,2.8,1,0,0
35,Male,Urban,Harare,Secondary,Informal,2,1,1,0,1,3,Low,1.3,0,1,1
18,Male,Urban,Bulawayo,Secondary,Formal,3,1,1,0,1,3,Low,2.2,1,1,0
35,Male,Urban,Harare,Secondary,Unemployed,4,1,1,0,0,2,Medium,1.3,0,1,0
27,Male,Urban,Masvingo,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.4,0,1,0
36,Female,Rural,Masvingo,None,Informal,1,1,0,0,0,1,High,102.1,1,0,1
28,Male,Urban,Harare,Secondary,Informal,4,1,1,0,1,3,Low,2.4,1,1,0
37,Male,Urban,Midlands,Tertiary,Formal,5,1,1,1,1,4,Low,3.2,1,1,0
23,Male,Rural,Masvingo,Secondary,Formal,3,1,1,1,1,4,Low,17.2,0,1,1
20,Male,Rural,Mashonaland Central,Primary,Informal,2,1,1,0,0,2,Medium,31.2,1,0,0
55,Female,Urban,Bulawayo,Tertiary,Informal,5,1,1,1,1,4,Low,3.6,1,1,0
24,Female,Rural,Midlands,Secondary,Formal,3,0,1,1,0,2,Medium,7.7,0,0,1
38,Male,Rural,Mashonaland West,Secondary,Informal,2,0,1,0,1,2,Medium,8.0,1,0,0
51,Male,Rural,Mashonaland West,Tertiary,Unemployed,2,1,0,0,0,1,High,21.5,1,0,1
50,Male,Urban,Bulawayo,Secondary,Informal,5,1,0,0,0,1,High,2.9,1,1,0
49,Male,Urban,Harare,Primary,Unemployed,3,1,1,0,0,2,Medium,2.0,0,1,1
42,Male,Rural,Mashonaland Central,Secondary,Informal,2,0,1,0,1,2,Medium,25.5,1,0,1
48,Male,Urban,Bulawayo,Secondary,Formal,5,1,1,1,1,4,Low,1.4,1,1,0
57,Male,Urban,Masvingo,Secondary,Informal,5,0,1,1,1,3,Low,1.0,1,1,0
43,Female,Urban,Manicaland,Primary,Informal,3,1,1,0,1,3,Low,0.7,0,0,0
18,Male,Rural,Manicaland,None,Informal,2,0,0,0,0,0,High,47.0,1,1,1
30,Male,Rural,Mashonaland West,None,Unemployed,1,1,0,1,0,2,Medium,19.7,1,1,0
47,Male,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.7,0,1,0
29,Male,Rural,Mashonaland East,Tertiary,Informal,4,1,1,1,1,4,Low,11.5,1,0,0
60,Male,Urban,Bulawayo,Secondary,Informal,3,1,1,0,1,3,Low,1.3,0,1,0
37,Male,Rural,Mashonaland East,Secondary,Formal,4,1,1,1,1,4,Low,11.4,1,1,1
39,Male,Rural,Midlands,None,Informal,1,1,1,0,1,3,Low,3.8,1,0,0
53,Male,Urban,Bulawayo,Secondary,Informal,2,1,1,0,0,2,Medium,0.5,0,1,0
35,Female,Urban,Bulawayo,Tertiary,Formal,5,1,1,1,1,4,Low,1.9,1,1,0
40,Female,Urban,Masvingo,Secondary,Informal,4,1,1,0,1,3,Low,0.7,1,1,0
50,Male,Rural,Matabeleland North,Primary,Informal,1,0,1,0,0,1,High,5.8,1,0,1
18,Male,Rural,Midlands,Secondary,Informal,1,1,1,0,1,3,Low,27.8,0,1,0
34,Female,Rural,Matabeleland South,Primary,Unemployed,1,1,0,1,0,2,Medium,35.9,1,1,0
49,Female,Rural,Masvingo,None,Unemployed,1,1,0,0,0,1,High,44.1,1,0,1
38,Male,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,1.3,1,0,0
58,Male,Rural,Mashonaland East,Secondary,Unemployed,1,0,0,0,0,0,High,13.7,0,1,1
18,Male,Urban,Masvingo,Secondary,Informal,4,1,1,0,0,2,Medium,3.2,1,1,0
18,Female,Urban,Harare,Primary,Formal,4,1,1,1,1,4,Low,0.4,1,1,0
48,Male,Rural,Midlands,Primary,Informal,2,0,1,0,0,1,High,30.4,0,0,1
50,Male,Rural,Mashonaland East,Secondary,Informal,1,1,0,1,0,2,Medium,44.7,1,0,1
35,Male,Urban,Manicaland,Secondary,Formal,5,1,1,0,1,3,Low,7.5,1,1,0
43,Male,Urban,Harare,Secondary,Informal,5,1,1,0,1,3,Low,2.1,1,1,0
48,Male,Rural,Midlands,Secondary,Informal,2,0,0,1,1,2,Medium,18.4,1,1,1
26,Female,Rural,Manicaland,Secondary,Unemployed,2,1,1,0,0,2,Medium,7.1,0,0,1
28,Female,Rural,Mashonaland East,Secondary,Informal,3,0,0,0,1,1,High,32.2,0,0,1
40,Male,Urban,Masvingo,Secondary,Formal,4,1,1,1,1,4,Low,6.1,1,1,0
50,Male,Urban,Harare,Secondary,Unemployed,2,1,1,0,0,2,Medium,0.6,1,1,0
21,Female,Urban,Harare,Tertiary,Informal,4,1,1,1,1,4,Low,2.6,1,1,0
35,Male,Rural,Midlands,Primary,Formal,5,1,1,1,1,4,Low,8.6,0,0,1
34,Male,Rural,Matabeleland South,Secondary,Formal,3,1,1,1,0,3,Low,4.3,1,1,1
43,Male,Urban,Harare,Secondary,Informal,5,1,1,0,1,3,Low,1.9,1,1,0
37,Female,Urban,Bulawayo,Tertiary,Informal,4,1,1,1,0,3,Low,0.3,1,0,0
30,Female,Urban,Harare,Tertiary,Informal,4,1,1,0,1,3,Low,2.4,1,0,1
55,Female,Rural,Mashonaland Central,None,Unemployed,2,0,1,0,0,1,High,7.1,0,0,0
30,Female,Rural,Masvingo,Primary,Informal,3,1,0,0,1,2,Medium,7.2,1,0,1
33,Male,Urban,Harare,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.4,1,1,0
18,Male,Urban,Bulawayo,Secondary,Informal,4,0,1,0,1,2,Medium,2.2,1,1,0
28,Male,Rural,Mashonaland Central,Secondary,Informal,1,1,1,0,0,2,Medium,47.2,1,0,0
45,Female,Urban,Mashonaland West,Primary,Formal,4,1,1,1,1,4,Low,0.5,1,1,0
42,Female,Rural,Masvingo,Secondary,Informal,1,0,0,0,0,0,High,63.9,1,1,1
46,Male,Urban,Harare,Tertiary,Informal,3,1,1,0,1,3,Low,0.3,1,1,1
45,Female,Urban,Matabeleland North,Tertiary,Informal,4,1,1,0,0,2,Medium,1.4,1,1,0
67,Male,Rural,Matabeleland South,None,Informal,1,1,1,1,0,3,Low,45.4,1,1,0
27,Male,Urban,Harare,Tertiary,Informal,5,1,0,1,0,2,Medium,2.7,1,1,1
18,Male,Urban,Midlands,Primary,Informal,5,1,1,0,0,2,Medium,3.5,0,1,1
23,Female,Urban,Harare,Secondary,Informal,3,1,0,0,1,2,Medium,1.1,1,0,0
28,Female,Urban,Harare,Secondary,Formal,4,1,1,0,1,3,Low,0.1,1,1,0
24,Female,Urban,Harare,Secondary,Unemployed,4,1,1,1,0,3,Low,1.8,0,1,0
39,Female,Urban,Harare,Primary,Informal,4,1,1,0,1,3,Low,4.2,1,1,1
55,Female,Urban,Bulawayo,Secondary,Informal,4,1,1,0,0,2,Medium,2.6,1,1,0
59,Female,Urban,Bulawayo,Secondary,Informal,4,1,1,0,0,2,Medium,11.8,1,1,0
45,Female,Rural,Midlands,Tertiary,Informal,3,1,1,1,0,3,Low,3.3,1,1,1
67,Male,Rural,Mashonaland Central,Secondary,Unemployed,1,1,0,0,0,1,High,13.1,1,1,1
33,Female,Urban,Harare,Tertiary,Unemployed,2,1,1,0,0,2,Medium,2.1,1,1,0
18,Female,Urban,Harare,Secondary,Informal,3,1,1,0,1,3,Low,2.4,1,0,0
