age,gender,location,province,education_level,employment_sector,income_quintile,has_national_id,has_proof_of_address,has_tin,has_employment_proof,kyc_doc_score,kyc_barrier_level,distance_to_branch_km,has_mobile_phone,has_internet,financially_excluded,kyc_gap_score,demographic_score,institutional_score,feri_score,feri_band
18,Female,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.4,1,1,0,0,18.0,0.0,6.3,Low Risk
32,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,8.2,1,1,0,0,0.0,5.0,1.0,Low Risk
50,Female,Urban,Harare,Secondary,Formal,3,1,0,1,1,3,Low,0.3,1,1,0,30,10.0,0.0,17.0,Low Risk
41,Female,Rural,Matabeleland North,Tertiary,Informal,2,1,0,0,0,1,High,10.4,1,1,1,60,50.0,35.0,51.5,High Risk
18,Male,Urban,Harare,Secondary,Informal,4,1,1,0,0,2,Medium,1.3,1,1,0,30,20.0,0.0,20.5,Low Risk
28,Male,Rural,Midlands,Secondary,Unemployed,2,1,1,1,0,3,Low,34.6,1,0,1,10,48.0,50.0,31.3,Moderate Risk
18,Male,Rural,Manicaland,Secondary,Formal,3,1,1,1,1,4,Low,23.3,1,0,0,0,28.0,50.0,19.8,Low Risk
18,Male,Urban,Masvingo,Tertiary,Informal,4,1,1,0,0,2,Medium,1.3,0,1,0,30,20.0,50.0,30.5,Moderate Risk
39,Male,Rural,Mashonaland Central,Secondary,Informal,3,1,1,0,0,2,Medium,44.5,1,0,0,30,32.0,70.0,38.7,Moderate Risk
45,Female,Rural,Manicaland,Secondary,Formal,3,0,1,0,0,1,High,2.1,1,1,1,70,30.0,0.0,42.0,Moderate Risk
44,Male,Urban,Bulawayo,Secondary,Formal,5,1,1,0,1,3,Low,4.5,1,1,0,20,0.0,0.0,9.0,Low Risk
46,Female,Urban,Harare,Tertiary,Informal,5,1,1,0,1,3,Low,4.4,1,1,1,20,22.0,0.0,16.7,Low Risk
37,Male,Rural,Mashonaland West,Primary,Informal,1,1,1,0,1,3,Low,26.2,0,0,1,20,53.0,80.0,43.55,Moderate Risk
34,Female,Urban,Mashonaland East,Tertiary,Formal,5,1,1,1,1,4,Low,0.5,1,1,0,0,10.0,0.0,3.5,Low Risk
22,Male,Urban,Mashonaland East,Tertiary,Formal,5,1,1,1,1,4,Low,4.5,1,0,0,0,8.0,20.0,6.8,Low Risk
31,Male,Urban,Bulawayo,Tertiary,Formal,5,1,1,1,1,4,Low,12.7,0,0,0,0,0.0,65.0,13.0,Low Risk
19,Female,Rural,Midlands,None,Unemployed,2,0,1,0,0,1,High,10.3,0,0,1,70,78.0,65.0,71.8,Critical Risk
26,Male,Rural,Mashonaland West,Secondary,Unemployed,2,1,0,0,0,1,High,11.8,0,0,1,60,48.0,65.0,56.8,High Risk
39,Female,Rural,Manicaland,None,Informal,3,0,1,0,1,2,Medium,1.4,0,0,1,60,54.0,50.0,55.9,High Risk
36,Male,Rural,Matabeleland South,Secondary,Informal,3,1,0,0,0,1,High,14.7,1,0,1,60,32.0,55.0,49.2,High Risk
80,Female,Urban,Harare,Secondary,Unemployed,4,1,1,1,0,3,Low,4.1,1,1,0,10,38.0,0.0,17.8,Low Risk
19,Female,Rural,Mashonaland Central,Secondary,Informal,2,1,1,0,0,2,Medium,9.8,1,1,0,30,58.0,25.0,38.8,Moderate Risk
36,Female,Urban,Harare,Secondary,Formal,4,1,1,1,0,3,Low,8.7,1,1,0,10,10.0,5.0,9.0,Low Risk
18,Male,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.7,0,1,0,0,8.0,30.0,8.8,Low Risk
32,Male,Rural,Mashonaland East,Secondary,Informal,3,0,1,0,1,2,Medium,2.9,0,0,1,60,32.0,50.0,48.2,High Risk
33,Male,Urban,Harare,Secondary,Informal,4,1,1,0,1,3,Low,2.2,1,1,0,20,12.0,0.0,13.2,Low Risk
49,Male,Rural,Masvingo,Secondary,Unemployed,1,1,0,0,0,1,High,64.7,1,1,0,60,55.0,50.0,56.25,High Risk
31,Male,Rural,Matabeleland South,Secondary,Informal,4,1,1,0,1,3,Low,43.4,0,0,1,20,32.0,100.0,40.2,Moderate Risk
35,Female,Rural,Midlands,Secondary,Informal,2,1,1,0,1,3,Low,10.1,0,0,0,20,50.0,65.0,39.5,Moderate Risk
31,Female,Rural,Manicaland,None,Unemployed,1,0,0,1,0,1,High,16.1,1,0,1,80,77.0,35.0,69.95,Critical Risk
18,Female,Rural,Mashonaland Central,Secondary,Informal,2,1,1,0,0,2,Medium,11.5,1,0,0,30,58.0,55.0,44.8,Moderate Risk
28,Male,Urban,Bulawayo,Tertiary,Formal,4,1,1,1,0,3,Low,0.5,1,1,0,10,0.0,0.0,4.5,Low Risk
32,Male,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,4.2,1,1,0,0,0.0,0.0,0.0,Low Risk
39,Female,Urban,Harare,Primary,Unemployed,5,1,1,0,0,2,Medium,5.8,1,0,0,30,36.0,25.0,31.1,Moderate Risk
45,Male,Urban,Bulawayo,Tertiary,Informal,3,1,1,0,0,2,Medium,3.3,1,0,0,30,12.0,20.0,21.7,Low Risk
34,Male,Urban,Mashonaland East,Tertiary,Informal,4,1,1,0,0,2,Medium,2.0,0,1,1,30,12.0,30.0,23.7,Low Risk
34,Male,Rural,Mashonaland Central,Secondary,Informal,1,1,0,0,1,2,Medium,11.7,0,0,1,50,47.0,85.0,55.95,High Risk
18,Female,Urban,Bulawayo,Tertiary,Formal,5,0,1,1,1,3,Low,3.9,1,1,1,40,18.0,0.0,24.3,Low Risk
45,Female,Urban,Bulawayo,Tertiary,Formal,4,0,1,1,1,3,Low,1.5,1,1,1,40,10.0,0.0,21.5,Low Risk
28,Male,Urban,Mashonaland West,Secondary,Informal,4,1,1,0,0,2,Medium,0.1,1,1,0,30,12.0,0.0,17.7,Low Risk
48,Male,Urban,Harare,Secondary,Unemployed,2,1,1,0,0,2,Medium,0.1,1,1,1,30,28.0,0.0,23.3,Low Risk
56,Male,Rural,Matabeleland South,Secondary,Informal,3,1,0,0,0,1,High,4.0,0,0,0,60,32.0,70.0,52.2,High Risk
35,Male,Rural,Matabeleland South,Tertiary,Formal,4,1,1,1,1,4,Low,4.5,1,1,1,0,20.0,20.0,11.0,Low Risk
23,Female,Rural,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,21.7,0,1,1,30,66.0,80.0,52.6,High Risk
37,Male,Rural,Masvingo,None,Informal,1,1,1,0,0,2,Medium,38.9,1,1,0,30,59.0,50.0,44.15,Moderate Risk
42,Female,Urban,Bulawayo,Tertiary,Formal,4,1,1,1,1,4,Low,1.4,1,1,0,0,10.0,0.0,3.5,Low Risk
33,Male,Rural,Mashonaland East,Secondary,Informal,2,0,1,1,1,3,Low,1.5,0,0,0,40,40.0,50.0,42.0,Moderate Risk
30,Male,Urban,Bulawayo,Secondary,Formal,5,1,1,1,1,4,Low,9.9,0,1,0,0,0.0,35.0,7.0,Low Risk
45,Female,Urban,Harare,Tertiary,Informal,5,0,1,0,1,2,Medium,0.5,1,1,0,60,22.0,0.0,34.7,Moderate Risk
44,Male,Urban,Mashonaland Central,Tertiary,Informal,3,1,1,0,0,2,Medium,8.8,0,1,0,30,12.0,55.0,28.7,Moderate Risk
33,Female,Rural,Harare,Secondary,Informal,1,1,1,0,0,2,Medium,23.6,1,0,1,30,57.0,50.0,43.45,Moderate Risk
18,Male,Urban,Bulawayo,Tertiary,Formal,5,0,1,1,1,3,Low,0.5,1,1,0,40,8.0,0.0,20.8,Low Risk
44,Female,Urban,Harare,Primary,Informal,4,1,1,0,1,3,Low,2.9,1,1,0,20,28.0,0.0,18.8,Low Risk
27,Male,Urban,Bulawayo,Tertiary,Informal,3,1,1,1,1,4,Low,3.5,0,1,0,0,12.0,30.0,10.2,Low Risk
41,Male,Urban,Bulawayo,Secondary,Formal,4,1,1,1,1,4,Low,1.7,0,1,0,0,0.0,30.0,6.0,Low Risk
40,Female,Rural,Mashonaland West,Secondary,Informal,2,0,1,0,0,1,High,28.0,1,0,1,70,50.0,50.0,59.0,High Risk
18,Male,Urban,Bulawayo,Tertiary,Unemployed,2,1,1,0,0,2,Medium,5.4,0,1,0,30,36.0,35.0,33.1,Moderate Risk
39,Male,Urban,Harare,Tertiary,Unemployed,4,0,1,0,0,1,High,3.0,1,0,1,70,20.0,20.0,42.5,Moderate Risk
45,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,14.6,0,1,0,0,10.0,45.0,12.5,Low Risk
46,Female,Rural,Matabeleland South,Secondary,Informal,3,1,1,0,1,3,Low,6.1,0,0,1,20,42.0,75.0,38.7,Moderate Risk
39,Female,Urban,Harare,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.9,0,1,0,30,30.0,30.0,30.0,Moderate Risk
18,Female,Urban,Mashonaland Central,Secondary,Formal,5,1,1,1,1,4,Low,1.8,1,1,0,0,18.0,20.0,10.3,Low Risk
55,Female,Urban,Bulawayo,Primary,Unemployed,1,1,1,0,0,2,Medium,3.1,1,1,1,30,51.0,0.0,31.35,Moderate Risk
43,Female,Rural,Midlands,Secondary,Informal,1,1,0,0,1,2,Medium,35.8,1,0,1,50,57.0,50.0,52.45,High Risk
21,Female,Rural,Mashonaland Central,Secondary,Informal,3,1,1,1,0,3,Low,1.7,1,1,0,10,50.0,20.0,26.0,Moderate Risk
26,Male,Rural,Mashonaland West,Secondary,Informal,1,1,0,1,0,2,Medium,19.0,1,1,0,40,47.0,15.0,37.45,Moderate Risk
41,Male,Urban,Harare,Secondary,Formal,4,1,1,1,1,4,Low,2.4,1,1,0,0,0.0,0.0,0.0,Low Risk
47,Female,Rural,Midlands,Secondary,Unemployed,1,1,1,0,0,2,Medium,15.0,1,1,0,30,65.0,15.0,39.25,Moderate Risk
31,Female,Rural,Matabeleland North,Secondary,Informal,2,1,1,0,0,2,Medium,5.3,0,0,1,30,50.0,75.0,46.0,High Risk
49,Male,Rural,Masvingo,Tertiary,Formal,4,0,1,1,0,2,Medium,62.8,1,1,1,50,20.0,50.0,39.5,Moderate Risk
18,Male,Urban,Manicaland,Tertiary,Informal,4,1,1,0,0,2,Medium,1.3,1,1,0,30,20.0,0.0,20.5,Low Risk
23,Male,Urban,Harare,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.2,1,1,0,30,28.0,0.0,23.3,Low Risk
18,Female,Urban,Bulawayo,Tertiary,Unemployed,4,1,1,0,0,2,Medium,0.1,1,1,0,30,38.0,0.0,26.8,Moderate Risk
25,Female,Rural,Matabeleland South,Primary,Informal,3,1,1,0,1,3,Low,6.2,1,1,0,20,48.0,25.0,30.8,Moderate Risk
59,Male,Urban,Harare,Primary,Formal,5,1,0,1,1,3,Low,2.0,1,1,1,30,6.0,0.0,15.6,Low Risk
66,Female,Urban,Matabeleland South,Secondary,Formal,5,1,1,1,1,4,Low,0.4,1,1,0,0,18.0,20.0,10.3,Low Risk
41,Female,Urban,Masvingo,Tertiary,Formal,5,1,1,1,0,3,Low,5.1,1,1,0,10,10.0,25.0,13.0,Low Risk
29,Female,Rural,Midlands,None,Unemployed,1,1,0,0,0,1,High,2.5,1,0,0,60,77.0,20.0,57.95,High Risk
34,Male,Urban,Mashonaland East,Secondary,Informal,3,1,1,0,1,3,Low,2.1,1,1,0,20,12.0,0.0,13.2,Low Risk
44,Female,Rural,Mashonaland East,Secondary,Unemployed,1,1,0,0,0,1,High,29.4,1,0,1,60,65.0,50.0,59.75,High Risk
18,Female,Rural,Masvingo,None,Formal,3,0,1,1,1,3,Low,17.4,1,1,0,40,50.0,35.0,42.5,Moderate Risk
29,Female,Rural,Manicaland,Secondary,Unemployed,1,1,1,0,0,2,Medium,1.8,0,0,0,30,65.0,50.0,46.25,High Risk
58,Male,Urban,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,1.1,0,1,0,30,28.0,50.0,33.3,Moderate Risk
23,Female,Rural,Mashonaland Central,Tertiary,Informal,1,1,1,1,0,3,Low,18.6,1,1,0,10,65.0,35.0,34.25,Moderate Risk
27,Female,Rural,Midlands,Primary,Unemployed,1,1,1,0,0,2,Medium,3.9,0,0,0,30,71.0,50.0,48.35,High Risk
38,Male,Rural,Mashonaland Central,Primary,Informal,1,1,1,0,0,2,Medium,69.0,1,1,1,30,53.0,50.0,42.05,Moderate Risk
41,Male,Urban,Harare,None,Informal,3,1,1,0,0,2,Medium,2.3,1,1,0,30,24.0,0.0,21.9,Low Risk
29,Female,Urban,Harare,Primary,Formal,4,1,1,1,1,4,Low,1.2,1,1,0,0,16.0,0.0,5.6,Low Risk
39,Female,Urban,Manicaland,Tertiary,Formal,5,1,1,1,1,4,Low,3.9,0,1,0,0,10.0,30.0,9.5,Low Risk
46,Male,Urban,Harare,Secondary,Formal,4,1,1,1,1,4,Low,2.0,1,1,0,0,0.0,0.0,0.0,Low Risk
65,Male,Urban,Harare,Secondary,Informal,4,1,1,1,1,4,Low,2.9,1,1,0,0,20.0,0.0,7.0,Low Risk
36,Male,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,8.5,1,1,0,0,0.0,5.0,1.0,Low Risk
37,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,5.9,1,1,0,0,10.0,5.0,4.5,Low Risk
59,Female,Rural,Midlands,None,Informal,1,1,0,0,1,2,Medium,79.9,1,0,1,50,69.0,50.0,56.65,High Risk
30,Male,Urban,Bulawayo,Secondary,Informal,2,1,1,0,0,2,Medium,6.0,1,1,1,30,20.0,5.0,21.5,Low Risk
19,Male,Rural,Mashonaland Central,Secondary,Unemployed,3,1,1,0,0,2,Medium,48.5,0,0,1,30,48.0,100.0,50.3,High Risk
41,Male,Rural,Mashonaland Central,Secondary,Informal,4,1,1,0,1,3,Low,41.2,1,0,0,20,32.0,70.0,34.2,Moderate Risk
53,Male,Urban,Harare,Tertiary,Informal,2,1,1,0,1,3,Low,2.6,1,1,0,20,20.0,0.0,16.0,Low Risk
43,Female,Rural,Mashonaland East,None,Unemployed,1,0,1,1,0,2,Medium,4.7,0,1,1,50,77.0,30.0,55.45,High Risk
36,Female,Urban,Harare,Tertiary,Informal,4,1,1,0,1,3,Low,3.2,1,0,0,20,22.0,20.0,20.7,Low Risk
18,Male,Rural,Bulawayo,None,Informal,1,1,0,0,1,2,Medium,2.7,1,0,1,50,67.0,20.0,49.95,High Risk
37,Male,Urban,Harare,Secondary,Informal,1,1,1,0,1,3,Low,3.2,1,1,1,20,27.0,0.0,18.45,Low Risk
55,Male,Rural,Mashonaland East,Secondary,Unemployed,1,1,1,0,0,2,Medium,80.9,1,1,0,30,55.0,30.0,38.75,Moderate Risk
20,Female,Urban,Mashonaland Central,Tertiary,Formal,5,1,1,1,1,4,Low,0.9,1,1,0,0,18.0,20.0,10.3,Low Risk
34,Female,Urban,Harare,None,Informal,4,1,1,0,0,2,Medium,0.3,1,1,0,30,34.0,0.0,25.4,Moderate Risk
32,Female,Urban,Bulawayo,Secondary,Formal,5,1,1,1,1,4,Low,4.2,1,1,0,0,10.0,0.0,3.5,Low Risk
28,Male,Rural,Masvingo,Secondary,Informal,2,1,1,0,0,2,Medium,17.9,1,0,1,30,40.0,55.0,38.5,Moderate Risk
41,Female,Rural,Midlands,Primary,Informal,1,1,1,1,1,4,Low,53.6,0,0,0,0,63.0,80.0,38.05,Moderate Risk
44,Male,Urban,Harare,Secondary,Informal,4,1,1,1,1,4,Low,1.2,1,1,0,0,12.0,0.0,4.2,Low Risk
44,Female,Urban,Mashonaland East,Secondary,Unemployed,3,1,1,0,0,2,Medium,0.3,1,0,0,30,30.0,20.0,28.0,Moderate Risk
24,Female,Urban,Masvingo,Primary,Unemployed,2,1,1,1,0,3,Low,13.7,1,1,1,10,52.0,35.0,29.7,Moderate Risk
18,Male,Urban,Midlands,Tertiary,Informal,4,1,0,0,0,1,High,1.6,1,1,1,60,20.0,0.0,34.0,Moderate Risk
41,Female,Urban,Mashonaland East,Primary,Informal,2,1,1,0,1,3,Low,0.6,1,0,0,20,36.0,20.0,25.6,Moderate Risk
30,Male,Urban,Harare,Secondary,Unemployed,1,1,0,0,0,1,High,1.8,1,1,0,60,35.0,0.0,39.25,Moderate Risk
63,Female,Rural,Midlands,Secondary,Informal,3,1,1,0,1,3,Low,8.6,0,1,1,20,42.0,35.0,30.7,Moderate Risk
64,Male,Rural,Matabeleland South,None,Formal,4,1,0,1,1,3,Low,1.0,1,1,1,30,32.0,20.0,28.7,Moderate Risk
65,Male,Urban,Harare,Secondary,Informal,4,1,1,0,1,3,Low,0.7,1,1,0,20,20.0,0.0,16.0,Low Risk
24,Male,Rural,Mashonaland Central,Primary,Informal,1,1,1,0,0,2,Medium,16.0,0,0,0,30,61.0,85.0,51.85,High Risk
45,Male,Urban,Matabeleland South,Tertiary,Informal,4,1,1,1,1,4,Low,1.5,1,1,0,0,12.0,20.0,8.2,Low Risk
50,Male,Rural,Mashonaland Central,Secondary,Unemployed,2,1,1,0,0,2,Medium,22.0,0,0,1,30,48.0,100.0,50.3,High Risk
48,Male,Urban,Mashonaland Central,Tertiary,Formal,5,1,1,0,1,3,Low,0.6,1,1,0,20,0.0,20.0,13.0,Low Risk
33,Female,Rural,Mashonaland West,Primary,Unemployed,2,1,0,0,0,1,High,6.5,0,1,1,60,64.0,35.0,56.4,High Risk
55,Male,Rural,Matabeleland North,Secondary,Informal,1,1,0,1,1,3,Low,1.0,1,0,1,30,47.0,40.0,37.95,Moderate Risk
38,Male,Rural,Manicaland,Secondary,Unemployed,2,1,1,0,0,2,Medium,18.4,0,0,0,30,48.0,65.0,43.3,Moderate Risk
39,Female,Urban,Manicaland,Secondary,Formal,5,1,1,1,1,4,Low,3.2,1,1,0,0,10.0,0.0,3.5,Low Risk
18,Female,Rural,Masvingo,None,Informal,2,0,1,0,0,1,High,6.1,0,0,1,70,70.0,75.0,71.0,Critical Risk
47,Male,Urban,Matabeleland North,Primary,Informal,2,1,1,0,1,3,Low,6.2,1,0,0,20,26.0,45.0,27.1,Moderate Risk
34,Male,Urban,Harare,Secondary,Informal,3,1,1,1,0,3,Low,3.7,1,0,1,10,12.0,20.0,12.7,Low Risk
44,Female,Rural,Manicaland,Primary,Informal,1,0,1,0,0,1,High,90.2,1,0,1,70,63.0,50.0,63.55,High Risk
41,Female,Urban,Harare,Tertiary,Formal,5,1,1,1,1,4,Low,0.3,1,1,0,0,10.0,0.0,3.5,Low Risk
40,Male,Rural,Manicaland,Tertiary,Formal,4,1,1,0,1,3,Low,81.1,1,1,1,20,20.0,30.0,22.0,Low Risk
37,Female,Rural,Midlands,Primary,Informal,1,0,1,0,1,2,Medium,2.4,1,0,0,60,63.0,20.0,53.05,High Risk
49,Male,Urban,Harare,Tertiary,Informal,3,1,1,0,0,2,Medium,5.1,1,1,0,30,12.0,5.0,18.7,Low Risk
35,Male,Rural,Mashonaland Central,Secondary,Informal,3,1,0,1,0,2,Medium,27.4,0,0,1,40,32.0,100.0,49.2,High Risk
18,Female,Urban,Mashonaland East,Secondary,Informal,3,1,0,0,0,1,High,4.3,1,1,0,60,30.0,0.0,37.5,Moderate Risk
45,Female,Urban,Harare,Tertiary,Formal,5,0,1,1,1,3,Low,1.7,1,1,1,40,10.0,0.0,21.5,Low Risk
26,Female,Urban,Harare,Tertiary,Formal,4,1,1,1,1,4,Low,2.6,1,1,0,0,10.0,0.0,3.5,Low Risk
19,Male,Rural,Matabeleland North,Secondary,Unemployed,1,1,0,0,0,1,High,18.1,1,1,0,60,63.0,35.0,56.05,High Risk
23,Male,Urban,Harare,Secondary,Informal,3,1,1,0,0,2,Medium,13.4,1,1,0,30,20.0,15.0,23.5,Low Risk
41,Male,Urban,Mashonaland West,Secondary,Informal,3,0,1,1,1,3,Low,8.8,1,1,1,40,12.0,5.0,23.2,Low Risk
36,Male,Urban,Bulawayo,Tertiary,Informal,4,1,1,0,1,3,Low,3.5,1,1,0,20,12.0,0.0,13.2,Low Risk
18,Male,Rural,Mashonaland East,Primary,Unemployed,1,1,0,0,0,1,High,17.1,1,0,1,60,69.0,35.0,58.15,High Risk
32,Female,Rural,Masvingo,None,Unemployed,1,1,1,0,0,2,Medium,4.2,0,1,0,30,77.0,50.0,50.45,High Risk
54,Female,Rural,Midlands,Primary,Informal,1,0,0,1,1,2,Medium,2.7,1,0,1,70,63.0,20.0,57.55,High Risk
31,Female,Rural,Mashonaland East,Secondary,Informal,3,0,1,0,1,2,Medium,72.3,1,0,1,60,42.0,50.0,51.7,High Risk
35,Male,Rural,Matabeleland North,Primary,Formal,2,1,1,1,1,4,Low,1.8,0,0,1,0,34.0,70.0,25.9,Moderate Risk
52,Male,Urban,Harare,Tertiary,Informal,4,1,1,0,0,2,Medium,0.6,1,1,0,30,12.0,0.0,17.7,Low Risk
49,Female,Urban,Bulawayo,Secondary,Informal,5,1,1,0,0,2,Medium,5.1,1,1,0,30,22.0,5.0,22.2,Low Risk
52,Male,Rural,Matabeleland North,Secondary,Informal,3,1,1,0,1,3,Low,7.0,1,1,0,20,32.0,25.0,25.2,Moderate Risk
18,Female,Rural,Manicaland,Secondary,Informal,2,1,1,1,1,4,Low,18.3,1,0,0,0,58.0,35.0,27.3,Moderate Risk
62,Male,Urban,Bulawayo,Secondary,Unemployed,3,1,1,1,0,3,Low,5.8,1,0,1,10,20.0,25.0,16.5,Low Risk
46,Female,Urban,Harare,Secondary,Formal,5,1,1,1,1,4,Low,0.1,0,1,0,0,10.0,30.0,9.5,Low Risk
72,Female,Rural,Matabeleland North,Primary,Unemployed,1,1,0,0,0,1,High,20.5,1,0,1,60,79.0,70.0,68.65,Critical Risk
27,Female,Urban,Bulawayo,Tertiary,Unemployed,3,1,1,0,0,2,Medium,1.0,1,0,0,30,30.0,20.0,28.0,Moderate Risk
18,Female,Rural,Mashonaland East,Secondary,Informal,3,1,1,0,0,2,Medium,89.9,1,0,1,30,50.0,50.0,41.0,Moderate Risk
38,Female,Urban,Harare,Secondary,Formal,5,1,0,1,1,3,Low,1.9,1,1,0,30,10.0,0.0,17.0,Low Risk
34,Male,Urban,Matabeleland North,Tertiary,Unemployed,4,1,1,0,0,2,Medium,1.9,1,1,0,30,20.0,20.0,24.5,Low Risk
47,Female,Rural,Mashonaland East,Secondary,Informal,3,1,0,0,1,2,Medium,34.2,1,1,1,50,42.0,30.0,43.2,Moderate Risk
53,Female,Urban,Harare,Primary,Informal,3,1,1,0,0,2,Medium,3.6,1,0,0,30,28.0,20.0,27.3,Moderate Risk
